Title,Price,Rating,URL,Date_Collected,UPC,Category,Stock_Quantity
A Light in the Attic,51.77,3,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,2026-06-05,a897fe39b1053632,Poetry,22
Tipping the Velvet,53.74,1,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,2026-06-05,90fa61229261140a,Historical Fiction,20
Soumission,50.1,1,https://books.toscrape.com/catalogue/soumission_998/index.html,2026-06-05,6957f44c3847a760,Fiction,20
Sharp Objects,47.82,4,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,2026-06-05,e00eb4fd7b871a48,Mystery,20
Sapiens: A Brief History of Humankind,54.23,5,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,2026-06-05,4165285e1663650f,History,20
The Requiem Red,22.65,1,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,2026-06-05,f77dbf2323deb740,Young Adult,19
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,2026-06-05,2597b5a345f45e1b,Business,19
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,2026-06-05,e72a5dfc7e9267b2,Default,19
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,2026-06-05,e10e1e165dc8be4a,Default,19
The Black Maria,52.15,1,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,2026-06-05,1dfe412b8ac00530,Poetry,19
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,2026-06-05,0312262ecafa5a40,Default,19
Shakespeare's Sonnets,20.66,4,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,2026-06-05,30a7f60cd76ca58c,Poetry,19
Set Me Free,17.46,5,https://books.toscrape.com/catalogue/set-me-free_988/index.html,2026-06-05,ce6396b0f23f6ecc,Young Adult,19
